int(self),DRONE_ORIGIN_MODE,DRONE_ALGO_MODE,TARGET_MODE,nb_drones_init,nb_target_init,no_of_target,minor_cell_side,major_cell_side,droneBatteryCapacity,rescue_sensitivity,cur_energy_consumed,cur_avg_target_hit_time
152,Random,Firefly Algorithm,Sourced,30,30,0,3,5,5000,0.5,0.256666666666667,9.33333333333333
155,Random,Firefly Algorithm,Sourced,30,40,0,3,5,5000,0.5,0.254326666666667,6.925
218,Random,Firefly Algorithm,Sourced,10,10,2,3,8,5000,0.5,1.0002,42.875
221,Random,Firefly Algorithm,Sourced,10,20,2,3,8,5000,0.5,1.00012,56.0555555555556
224,Random,Firefly Algorithm,Sourced,10,30,4,3,8,5000,0.5,1.00024,41.4230769230769
227,Random,Firefly Algorithm,Sourced,10,40,1,3,8,5000,0.5,1.00088,26.5641025641026
290,Random,Firefly Algorithm,Sourced,20,10,0,3,8,5000,0.5,0.66376,72.5
293,Random,Firefly Algorithm,Sourced,20,20,0,3,8,5000,0.5,0.86151,47.3
296,Random,Firefly Algorithm,Sourced,20,30,1,3,8,5000,0.5,1.00029,33.1034482758621
299,Random,Firefly Algorithm,Sourced,20,40,1,3,8,5000,0.5,1.00046,25.2820512820513
362,Random,Firefly Algorithm,Sourced,30,10,0,3,8,5000,0.5,0.258833333333333,28.3
365,Random,Firefly Algorithm,Sourced,30,20,0,3,8,5000,0.5,0.513173333333334,27.95
368,Random,Firefly Algorithm,Sourced,30,30,0,3,8,5000,0.5,0.461153333333333,16.8
371,Random,Firefly Algorithm,Sourced,30,40,0,3,8,5000,0.5,0.664613333333334,18.1
434,Random,Firefly Algorithm,Sourced,10,10,0,5,5,5000,0.5,0.8906,96.7
437,Random,Firefly Algorithm,Sourced,10,20,6,5,5,5000,0.5,1.0008,75.0714285714286
440,Random,Firefly Algorithm,Sourced,10,30,4,5,5,5000,0.5,1.00004,41.6153846153846
443,Random,Firefly Algorithm,Sourced,10,40,6,5,5,5000,0.5,1.00042,31.0882352941176
506,Random,Firefly Algorithm,Sourced,20,10,0,5,5,5000,0.5,0.51941,56.6
509,Random,Firefly Algorithm,Sourced,20,20,0,5,5,5000,0.5,0.62656,34.15
512,Random,Firefly Algorithm,Sourced,20,30,1,5,5,5000,0.5,1.00082,30.1034482758621
515,Random,Firefly Algorithm,Sourced,20,40,2,5,5,5000,0.5,1.00045,25.7368421052632
578,Random,Firefly Algorithm,Sourced,30,10,0,5,5,5000,0.5,0.713933333333334,77.4
581,Random,Firefly Algorithm,Sourced,30,20,0,5,5,5000,0.5,0.660853333333334,35.95
584,Random,Firefly Algorithm,Sourced,30,30,0,5,5,5000,0.5,0.728766666666667,26.5
587,Random,Firefly Algorithm,Sourced,30,40,0,5,5,5000,0.5,0.542653333333333,14.775
650,Random,Firefly Algorithm,Sourced,10,10,2,5,8,5000,0.5,1.00056,53.875
653,Random,Firefly Algorithm,Sourced,10,20,14,5,8,5000,0.5,1.00074,138.5
656,Random,Firefly Algorithm,Sourced,10,30,12,5,8,5000,0.5,1.00008,60
659,Random,Firefly Algorithm,Sourced,10,40,18,5,8,5000,0.5,1.00052,46.7272727272727
722,Random,Firefly Algorithm,Sourced,20,10,3,5,8,5000,0.5,1.00044,84.4285714285714
725,Random,Firefly Algorithm,Sourced,20,20,9,5,8,5000,0.5,1.00081,93.7272727272727
728,Random,Firefly Algorithm,Sourced,20,30,14,5,8,5000,0.5,1.00036,45.0625
731,Random,Firefly Algorithm,Sourced,20,40,10,5,8,5000,0.5,1.00059,35.1
