int(self),DRONE_ORIGIN_MODE,DRONE_ALGO_MODE,TARGET_MODE,nb_drones_init,nb_target_init,no_of_target,minor_cell_side,major_cell_side,droneBatteryCapacity,rescue_sensitivity,cur_energy_consumed,cur_avg_target_hit_time
186,Sourced,Firefly Algorithm,Static,30,30,0,3,5,5000,0.5,0.290466666666667,10.5666666666667
189,Sourced,Firefly Algorithm,Static,30,40,0,3,5,5000,0.5,0.335886666666667,9.15
252,Sourced,Firefly Algorithm,Static,10,10,3,3,8,5000,0.5,1.0006,137.142857142857
255,Sourced,Firefly Algorithm,Static,10,20,6,3,8,5000,0.5,1.00048,72.4285714285714
258,Sourced,Firefly Algorithm,Static,10,30,10,3,8,5000,0.5,1.00032,40.7
261,Sourced,Firefly Algorithm,Static,10,40,15,3,8,5000,0.5,1.00072,38.32
324,Sourced,Firefly Algorithm,Static,20,10,0,3,8,5000,0.5,0.78697,86.1
327,Sourced,Firefly Algorithm,Static,20,20,0,3,8,5000,0.5,0.95678,52.15
330,Sourced,Firefly Algorithm,Static,20,30,1,3,8,5000,0.5,1.00046,35.0689655172414
333,Sourced,Firefly Algorithm,Static,20,40,3,3,8,5000,0.5,1.0009,26.972972972973
396,Sourced,Firefly Algorithm,Static,30,10,0,3,8,5000,0.5,0.789013333333333,86.1
399,Sourced,Firefly Algorithm,Static,30,20,0,3,8,5000,0.5,0.853153333333334,46.45
402,Sourced,Firefly Algorithm,Static,30,30,0,3,8,5000,0.5,0.664626666666667,24.2
405,Sourced,Firefly Algorithm,Static,30,40,0,3,8,5000,0.5,0.889626666666667,24.3
468,Sourced,Firefly Algorithm,Static,10,10,5,5,5,5000,0.5,1.00078,197
471,Sourced,Firefly Algorithm,Static,10,20,11,5,5,5000,0.5,1.00042,108.222222222222
474,Sourced,Firefly Algorithm,Static,10,30,15,5,5,5000,0.5,1.00026,65.8
477,Sourced,Firefly Algorithm,Static,10,40,18,5,5,5000,0.5,1.0004,47.9545454545455
540,Sourced,Firefly Algorithm,Static,20,10,0,5,5,5000,0.5,0.87883,95.3
543,Sourced,Firefly Algorithm,Static,20,20,4,5,5,5000,0.5,1.00082,66.3125
546,Sourced,Firefly Algorithm,Static,20,30,3,5,5,5000,0.5,1.00081,36.6296296296296
549,Sourced,Firefly Algorithm,Static,20,40,4,5,5,5000,0.5,1.00028,28.6944444444444
612,Sourced,Firefly Algorithm,Static,30,10,0,5,5,5000,0.5,0.683713333333333,74.6
615,Sourced,Firefly Algorithm,Static,30,20,0,5,5,5000,0.5,0.70984,38.5
618,Sourced,Firefly Algorithm,Static,30,30,0,5,5,5000,0.5,0.516553333333334,18.7666666666667
621,Sourced,Firefly Algorithm,Static,30,40,0,5,5,5000,0.5,0.7437,20.225
684,Sourced,Firefly Algorithm,Static,10,10,7,5,8,5000,0.5,1.0008,154.666666666667
687,Sourced,Firefly Algorithm,Static,10,20,13,5,8,5000,0.5,1.00088,103.571428571429
690,Sourced,Firefly Algorithm,Static,10,30,18,5,8,5000,0.5,1.00072,90.4166666666667
693,Sourced,Firefly Algorithm,Static,10,40,28,5,8,5000,0.5,1.0006,84.5833333333333
756,Sourced,Firefly Algorithm,Static,20,10,5,5,8,5000,0.5,1.00054,187.2
759,Sourced,Firefly Algorithm,Static,20,20,5,5,8,5000,0.5,1.00033,65.5333333333333
762,Sourced,Firefly Algorithm,Static,20,30,18,5,8,5000,0.5,1.00065,86.5
765,Sourced,Firefly Algorithm,Static,20,40,20,5,8,5000,0.5,1.0006,54.1
828,Sourced,Firefly Algorithm,Static,30,10,2,5,8,5000,0.5,1.00064,92
831,Sourced,Firefly Algorithm,Static,30,20,3,5,8,5000,0.5,1.00078666666667,63.4117647058824
834,Sourced,Firefly Algorithm,Static,30,30,13,5,8,5000,0.5,0.80478,46.9411764705882
837,Sourced,Firefly Algorithm,Static,30,40,12,5,8,5000,0.5,1.00003333333333,36.5714285714286
60,Sourced,Random,Static,10,10,0,3,5,5000,0.5,0.71224,77.4
63,Sourced,Random,Static,10,20,0,3,5,5000,0.5,0.72636,39.55
66,Sourced,Random,Static,10,30,0,3,5,5000,0.5,0.69768,25.2333333333333
69,Sourced,Random,Static,10,40,0,3,5,5000,0.5,0.72196,19.6
132,Sourced,Random,Static,20,10,0,3,5,5000,0.5,0.3624,39.4
135,Sourced,Random,Static,20,20,0,3,5,5000,0.5,0.32735,17.85
138,Sourced,Random,Static,20,30,0,3,5,5000,0.5,0.33411,12.1333333333333
141,Sourced,Random,Static,20,40,0,3,5,5000,0.5,0.37344,10.175
204,Sourced,Random,Static,30,10,0,3,5,5000,0.5,0.170446666666667,18.7
207,Sourced,Random,Static,30,20,0,3,5,5000,0.5,0.233413333333333,12.7
210,Sourced,Random,Static,30,30,0,3,5,5000,0.5,0.259606666666667,9.4
213,Sourced,Random,Static,30,40,0,3,5,5000,0.5,0.251133333333333,6.825
