int(self),DRONE_MODE,TARGET_MODE,nb_drones_init,nb_target_init,no_of_target,minor_cell_side,major_cell_side,droneBatteryCapacity,rescue_sensitivity,cur_energy_consumed,cur_avg_target_hit_time
54,Firefly Algorithm,Static,1,41,0,2,2,1000,1.0,0.5510000000000005,3.731707317073171
55,Firefly Algorithm,Dnyamic,1,41,0,2,2,1000,1.0,0.5020000000000004,3.6097560975609757
56,Firefly Algorithm,Sourced,1,41,0,2,2,1000,1.0,0.9120000000000008,6.926829268292683
57,Firefly Algorithm,Static,1,46,0,2,2,1000,1.0,0.7840000000000007,4.521739130434782
58,Firefly Algorithm,Dnyamic,1,46,0,2,2,1000,1.0,0.6530000000000006,4.195652173913044
59,Firefly Algorithm,Sourced,1,46,0,2,2,1000,1.0,0.6940000000000006,4.434782608695652
60,Firefly Algorithm,Static,1,1,0,2,2,1000,1.5,0.4390000000000004,125.0
61,Firefly Algorithm,Dnyamic,1,1,0,2,2,1000,1.5,0.13100000000000012,41.0
62,Firefly Algorithm,Sourced,1,1,0,2,2,1000,1.5,0.16400000000000015,42.0
63,Firefly Algorithm,Static,1,6,0,2,2,1000,1.5,0.6110000000000005,27.5
64,Firefly Algorithm,Dnyamic,1,6,0,2,2,1000,1.5,0.3150000000000003,17.5
65,Firefly Algorithm,Sourced,1,6,0,2,2,1000,1.5,0.4800000000000004,22.666666666666668
66,Firefly Algorithm,Static,1,11,0,2,2,1000,1.5,0.6050000000000005,14.636363636363637
67,Firefly Algorithm,Dnyamic,1,11,0,2,2,1000,1.5,0.6460000000000006,16.90909090909091
68,Firefly Algorithm,Sourced,1,11,0,2,2,1000,1.5,0.3370000000000003,10.454545454545455
69,Firefly Algorithm,Static,1,16,0,2,2,1000,1.5,0.5160000000000005,9.125
70,Firefly Algorithm,Dnyamic,1,16,0,2,2,1000,1.5,0.40400000000000036,8.25
71,Firefly Algorithm,Sourced,1,16,0,2,2,1000,1.5,0.5030000000000004,9.375
72,Firefly Algorithm,Static,1,21,0,2,2,1000,1.5,0.6050000000000005,7.666666666666667
73,Firefly Algorithm,Dnyamic,1,21,0,2,2,1000,1.5,0.5770000000000005,7.666666666666667
74,Firefly Algorithm,Sourced,1,21,0,2,2,1000,1.5,0.3300000000000003,5.0476190476190474
